t,target_rpm,actual_rpm,cmd,cmd_kind,safety
0.0,0.0,0.0,0,speed,
0.05,0.0,0.0,0,speed,
0.1,0.0,0.0,0,speed,
0.15,0.0,0.0,0,speed,
0.2,0.0,0.0,0,speed,
0.25,0.0,0.0,0,speed,
0.3,0.0,0.0,0,speed,
0.35,0.0,0.0,0,speed,
0.4,0.0,0.0,0,speed,
0.45,0.0,0.0,0,speed,
0.5,0.0,0.0,0,speed,
0.55,28.64788975654116,0.9423076923076923,-78,speed,
0.6,28.64788975654116,2.230769230769231,-156,speed,
0.65,28.64788975654116,3.6538461538461537,-234,speed,
0.7,28.64788975654116,5.115384615384615,-312,speed,
0.75,28.64788975654116,6.615384615384615,-390,speed,
0.8,28.64788975654116,8.115384615384615,-468,speed,
0.85,28.64788975654116,9.615384615384615,-546,speed,
0.9,28.64788975654116,11.115384615384615,-624,speed,
0.95,28.64788975654116,12.615384615384615,-702,speed,
1.0,28.64788975654116,14.115384615384615,-780,speed,
1.05,28.64788975654116,15.615384615384615,-858,speed,
1.1,28.64788975654116,17.115384615384617,-936,speed,
1.15,28.64788975654116,18.615384615384617,-1014,speed,
1.2,28.64788975654116,20.115384615384617,-1092,speed,
1.25,28.64788975654116,21.615384615384617,-1170,speed,
1.3,28.64788975654116,23.115384615384617,-1248,speed,
1.35,28.64788975654116,24.615384615384617,-1326,speed,
1.4,28.64788975654116,26.115384615384617,-1404,speed,
1.45,28.64788975654116,27.615384615384617,-1482,speed,
1.5,28.64788975654116,29.115384615384617,-1560,speed,
1.55,28.64788975654116,30.28846153846154,-1612,speed,
1.6,28.64788975654116,30.73076923076923,-1612,speed,
1.65,28.64788975654116,30.903846153846153,-1612,speed,
1.7,28.64788975654116,30.96153846153846,-1612,speed,
1.75,28.64788975654116,30.98076923076923,-1612,speed,
1.8,28.64788975654116,31.0,-1612,speed,
1.85,28.64788975654116,31.0,-1612,speed,
1.9,28.64788975654116,31.0,-1612,speed,
1.95,28.64788975654116,31.0,-1612,speed,
2.0,28.64788975654116,31.0,-1612,speed,
2.05,28.64788975654116,31.0,-1612,speed,
2.1,28.64788975654116,31.0,-1612,speed,
2.15,28.64788975654116,31.0,-1612,speed,
2.2,28.64788975654116,31.0,-1612,speed,
2.25,28.64788975654116,31.0,-1612,speed,
2.3,28.64788975654116,31.0,-1612,speed,
2.35,28.64788975654116,31.0,-1612,speed,
2.4,28.64788975654116,31.0,-1612,speed,
2.45,28.64788975654116,31.0,-1612,speed,
2.5,28.64788975654116,31.0,-1612,speed,
2.55,28.64788975654116,31.0,-1612,speed,
2.6,28.64788975654116,31.0,-1612,speed,
2.65,28.64788975654116,31.0,-1612,speed,
2.7,28.64788975654116,31.0,-1612,speed,
2.75,28.64788975654116,31.0,-1612,speed,
2.8,28.64788975654116,31.0,-1612,speed,
2.85,28.64788975654116,31.0,-1612,speed,
2.9,28.64788975654116,31.0,-1612,speed,
2.95,28.64788975654116,31.0,-1612,speed,
3.0,28.64788975654116,31.0,-1612,speed,
3.05,28.64788975654116,31.0,-1612,speed,
3.1,28.64788975654116,31.0,-1612,speed,
3.15,28.64788975654116,31.0,-1612,speed,
3.2,28.64788975654116,31.0,-1612,speed,
3.25,28.64788975654116,31.0,-1612,speed,
3.3,28.64788975654116,31.0,-1612,speed,
3.35,28.64788975654116,31.0,-1612,speed,
3.4,28.64788975654116,31.0,-1612,speed,
3.45,28.64788975654116,31.0,-1612,speed,
3.5,28.64788975654116,31.0,-1612,speed,
3.55,28.64788975654116,31.0,-1612,speed,
3.6,28.64788975654116,31.0,-1612,speed,
3.65,28.64788975654116,31.0,-1612,speed,
3.7,28.64788975654116,31.0,-1612,speed,
3.75,28.64788975654116,31.0,-1612,speed,
3.8,28.64788975654116,31.0,-1612,speed,
3.85,28.64788975654116,31.0,-1612,speed,
3.9,28.64788975654116,31.0,-1612,speed,
3.95,28.64788975654116,31.0,-1612,speed,
4.0,28.64788975654116,31.0,-1612,speed,
4.05,0.0,30.057692307692307,-1534,speed,
4.1,0.0,28.76923076923077,-1456,speed,
4.15,0.0,27.346153846153847,-1378,speed,
