t,target_rpm,actual_rpm,cmd,cmd_kind,safety
0.0,0.0,0.0,0,current,
0.05,0.0,0.0,0,current,
0.1,0.0,0.0,0,current,
0.15,0.0,0.0,0,current,
0.2,0.0,0.0,0,current,
0.25,0.0,0.0,0,current,
0.3,0.0,0.0,0,current,
0.35,0.0,0.0,0,current,
0.4,0.0,0.0,0,current,
0.45,0.0,0.0,0,current,
0.5,0.0,0.0,0,current,
0.55,28.64788975654116,0.25,-55,current,
0.6,28.64788975654116,0.5192307692307693,-55,current,
0.65,28.64788975654116,0.7692307692307693,-55,current,
0.7,28.64788975654116,1.0384615384615385,-57,current,
0.75,28.64788975654116,1.3076923076923077,-57,current,
0.8,28.64788975654116,1.5769230769230769,-57,current,
0.85,28.64788975654116,1.8461538461538463,-57,current,
0.9,28.64788975654116,2.1153846153846154,-57,current,
0.95,28.64788975654116,2.3846153846153846,-59,current,
1.0,28.64788975654116,2.423076923076923,-19,current,
1.05,28.64788975654116,2.4615384615384617,-21,current,
1.1,28.64788975654116,2.519230769230769,-23,current,
1.15,28.64788975654116,2.5961538461538463,-25,current,
1.2,28.64788975654116,2.6923076923076925,-27,current,
1.25,28.64788975654116,2.7884615384615383,-30,current,
1.3,28.64788975654116,2.9038461538461537,-32,current,
1.35,28.64788975654116,3.019230769230769,-34,current,
1.4,28.64788975654116,3.1538461538461537,-35,current,
1.45,28.64788975654116,3.2884615384615383,-35,current,
1.5,28.64788975654116,3.423076923076923,-35,current,
1.55,28.64788975654116,3.5384615384615383,-35,current,
1.6,28.64788975654116,3.673076923076923,-35,current,
1.65,28.64788975654116,3.8076923076923075,-35,current,
1.7,28.64788975654116,3.923076923076923,-35,current,
1.75,28.64788975654116,4.0576923076923075,-35,current,
1.8,28.64788975654116,4.1923076923076925,-35,current,
1.85,28.64788975654116,4.3076923076923075,-35,current,
1.9,28.64788975654116,4.4423076923076925,-35,current,
1.95,28.64788975654116,4.576923076923077,-35,current,
2.0,28.64788975654116,4.6923076923076925,-35,current,
2.05,28.64788975654116,4.826923076923077,-35,current,
2.1,28.64788975654116,4.961538461538462,-35,current,
2.15,28.64788975654116,5.076923076923077,-35,current,
2.2,28.64788975654116,5.211538461538462,-35,current,
2.25,28.64788975654116,5.326923076923077,-35,current,
2.3,28.64788975654116,5.461538461538462,-35,current,
2.35,28.64788975654116,5.576923076923077,-35,current,
2.4,28.64788975654116,5.711538461538462,-35,current,
2.45,28.64788975654116,5.826923076923077,-35,current,
2.5,28.64788975654116,5.961538461538462,-35,current,
2.55,28.64788975654116,6.076923076923077,-35,current,
2.6,28.64788975654116,6.1923076923076925,-35,current,
2.65,28.64788975654116,6.326923076923077,-35,current,
2.7,28.64788975654116,6.4423076923076925,-35,current,
2.75,28.64788975654116,6.576923076923077,-35,current,
2.8,28.64788975654116,6.6923076923076925,-35,current,
2.85,28.64788975654116,6.8076923076923075,-35,current,
2.9,28.64788975654116,6.9423076923076925,-35,current,
2.95,28.64788975654116,7.0576923076923075,-35,current,
3.0,28.64788975654116,7.173076923076923,-35,current,
3.05,28.64788975654116,7.288461538461538,-35,current,
3.1,28.64788975654116,7.423076923076923,-35,current,
3.15,28.64788975654116,7.538461538461538,-35,current,
3.2,28.64788975654116,7.653846153846154,-35,current,
3.25,28.64788975654116,7.769230769230769,-35,current,
3.3,28.64788975654116,7.903846153846154,-35,current,
3.35,28.64788975654116,8.01923076923077,-35,current,
3.4,28.64788975654116,8.134615384615385,-35,current,
3.45,28.64788975654116,8.25,-35,current,
3.5,28.64788975654116,8.365384615384615,-35,current,
3.55,28.64788975654116,8.48076923076923,-35,current,
3.6,28.64788975654116,8.615384615384615,-35,current,
3.65,28.64788975654116,8.73076923076923,-35,current,
3.7,28.64788975654116,8.846153846153847,-35,current,
3.75,28.64788975654116,8.961538461538462,-35,current,
3.8,28.64788975654116,9.076923076923077,-35,current,
3.85,28.64788975654116,9.192307692307692,-35,current,
3.9,28.64788975654116,9.307692307692308,-35,current,
3.95,28.64788975654116,9.423076923076923,-35,current,
4.0,28.64788975654116,9.538461538461538,-35,current,
4.05,0.0,9.442307692307692,0,current,
4.1,0.0,9.346153846153847,0,current,
4.15,0.0,9.25,0,current,
4.2,0.0,9.153846153846153,0,current,
4.25,0.0,9.057692307692308,0,current,
4.3,0.0,8.98076923076923,0,current,
4.35,0.0,8.884615384615385,0,current,
4.4,0.0,8.788461538461538,0,current,
4.45,0.0,8.692307692307692,0,current,
4.5,0.0,8.596153846153847,0,current,
4.55,0.0,8.5,0,current,
4.6,0.0,8.423076923076923,0,current,
4.65,0.0,8.326923076923077,0,current,
4.7,0.0,8.23076923076923,0,current,
