t,target_rpm,actual_rpm,cmd,cmd_kind,safety
0.0,7.0,0.0,-55,current,
0.05,7.0,0.0,-55,current,
0.1,7.0,0.0,-55,current,
0.15,7.0,0.0,-57,current,
0.2,7.0,0.0,-57,current,
0.25,7.0,0.0,-57,current,
0.3,7.0,0.0,-57,current,
0.35,7.0,0.0,-57,current,
0.4,7.0,0.0,-59,current,
0.45,7.0,0.0,-59,current,
0.5,7.0,0.0,-59,current,
0.55,7.0,0.0,-61,current,
0.6,7.0,0.0,-61,current,
0.65,7.0,0.0,-61,current,
0.7,7.0,0.0,-61,current,
0.75,7.0,0.0,-63,current,
0.8,7.0,0.0,-63,current,
0.85,7.0,0.0,-63,current,
0.9,7.0,0.0,-63,current,
0.95,7.0,0.0,-65,current,
1.0,7.0,0.0,-65,current,
1.05,7.0,0.0,-65,current,
1.1,7.0,0.0,-65,current,
1.15,7.0,0.0,-67,current,
1.2,7.0,0.0,-67,current,
1.25,7.0,0.0,-67,current,
1.3,7.0,0.0,-67,current,
1.35,7.0,0.0,-69,current,
1.4,7.0,0.0,-69,current,
1.45,7.0,0.0,-69,current,
1.5,7.0,0.0,-69,current,
1.55,7.0,0.0,-70,current,
1.6,7.0,0.0,-70,current,
1.65,7.0,0.0,-70,current,
1.7,7.0,0.0,-70,current,
1.75,7.0,0.0,-70,current,
1.8,7.0,0.0,-70,current,
1.85,7.0,0.0,-70,current,
1.9,7.0,0.0,-70,current,
1.95,7.0,0.0,-70,current,
2.0,7.0,0.0,-70,current,
2.05,7.0,0.0,-70,current,
2.1,7.0,0.0,-70,current,
2.15,7.0,0.0,-70,current,
2.2,7.0,0.0,-70,current,
2.25,7.0,0.0,-70,current,
2.3,7.0,0.0,-70,current,
2.35,7.0,0.0,-70,current,
2.4,7.0,0.0,-70,current,
2.45,7.0,0.0,-70,current,
2.5,7.0,0.0,-70,current,
2.55,7.0,0.0,-70,current,
2.6,7.0,0.0,-70,current,
2.65,7.0,0.0,-70,current,
2.7,7.0,0.0,-70,current,
2.75,7.0,0.0,-70,current,
2.8,7.0,0.0,-70,current,
2.85,7.0,0.0,-70,current,
