t,target_rpm,actual_rpm,cmd,cmd_kind,safety
0.0,0.0,0.0,0,speed,
0.05,0.0,0.0,0,speed,
0.1,0.0,0.0,0,speed,
0.15,0.0,0.0,0,speed,
0.2,0.0,0.0,0,speed,
0.25,0.0,0.0,0,speed,
0.3,0.0,0.0,0,speed,
0.35,0.0,0.0,0,speed,
0.4,0.0,0.0,0,speed,
0.45,0.0,0.0,0,speed,
0.5,0.0,0.0,0,speed,
0.55,35.81,0.9423076923076923,-78,speed,
0.6,35.81,2.230769230769231,-156,speed,
0.65,35.81,3.6538461538461537,-234,speed,
0.7,35.81,5.115384615384615,-312,speed,
0.75,35.81,6.615384615384615,-390,speed,
0.8,35.81,8.115384615384615,-468,speed,
0.85,35.81,9.615384615384615,-546,speed,
0.9,35.81,11.115384615384615,-624,speed,
0.95,35.81,12.615384615384615,-702,speed,
1.0,35.81,11.115384615384615,0,speed,
1.05,35.81,9.615384615384615,0,speed,
1.1,35.81,8.115384615384615,0,speed,
1.15,35.81,6.615384615384615,0,speed,
1.2,35.81,5.115384615384615,0,speed,
1.25,35.81,3.6153846153846154,0,speed,
1.3,35.81,2.1153846153846154,0,speed,
1.35,35.81,0.7884615384615384,0,speed,
1.4,35.81,0.28846153846153844,0,speed,
1.45,35.81,0.11538461538461539,0,speed,
1.5,35.81,0.038461538461538464,0,speed,
1.55,35.81,0.019230769230769232,0,speed,
1.6,35.81,0.0,0,speed,
1.65,35.81,0.0,0,speed,
1.7,35.81,0.0,0,speed,
1.75,35.81,0.0,0,speed,
1.8,35.81,0.0,0,speed,
1.85,35.81,0.0,0,speed,
1.9,35.81,0.0,0,speed,
1.95,35.81,0.0,0,speed,
2.0,35.81,0.0,0,speed,
2.05,35.81,0.0,0,speed,
2.1,35.81,0.0,0,speed,
2.15,35.81,0.0,0,speed,
2.2,35.81,0.0,0,speed,
2.25,35.81,0.0,0,speed,
2.3,35.81,0.0,0,speed,
2.35,35.81,0.0,0,speed,
2.4,35.81,0.0,0,speed,
2.45,35.81,0.0,0,speed,
2.5,35.81,0.0,0,speed,
2.55,35.81,0.0,0,speed,
2.6,35.81,0.0,0,speed,
2.65,35.81,0.0,0,speed,
2.7,35.81,0.0,0,speed,
2.75,35.81,0.0,0,speed,
2.8,35.81,0.0,0,speed,
2.85,35.81,0.0,0,speed,
2.9,35.81,0.0,0,speed,
2.95,35.81,0.0,0,speed,
3.0,35.81,0.0,0,speed,
3.05,35.81,0.9423076923076923,-78,speed,
3.1,35.81,2.230769230769231,-156,speed,
3.15,35.81,3.6538461538461537,-234,speed,
3.2,35.81,5.115384615384615,-312,speed,
3.25,35.81,6.615384615384615,-390,speed,
3.3,35.81,8.115384615384615,-468,speed,
3.35,35.81,9.615384615384615,-546,speed,
3.4,35.81,11.115384615384615,-624,speed,
3.45,35.81,12.615384615384615,-702,speed,
3.5,35.81,14.115384615384615,-780,speed,
3.55,35.81,15.615384615384615,-858,speed,
3.6,35.81,17.115384615384617,-936,speed,
3.65,35.81,18.615384615384617,-1014,speed,
3.7,35.81,20.115384615384617,-1092,speed,
3.75,35.81,21.615384615384617,-1170,speed,
3.8,35.81,23.115384615384617,-1248,speed,
3.85,35.81,24.615384615384617,-1326,speed,
3.9,35.81,26.115384615384617,-1404,speed,
3.95,35.81,27.615384615384617,-1482,speed,
4.0,35.81,29.115384615384617,-1560,speed,
4.05,35.81,30.615384615384617,-1638,speed,
4.1,35.81,32.11538461538461,-1716,speed,
4.15,35.81,33.61538461538461,-1794,speed,
4.2,35.81,35.11538461538461,-1872,speed,
4.25,35.81,36.61538461538461,-1950,speed,
4.3,35.81,37.94230769230769,-2015,speed,
4.35,35.81,38.44230769230769,-2015,speed,
4.4,35.81,38.63461538461539,-2015,speed,
4.45,35.81,38.71153846153846,-2015,speed,
4.5,35.81,38.73076923076923,-2015,speed,
4.55,35.81,38.75,-2015,speed,
4.6,35.81,38.75,-2015,speed,
4.65,35.81,38.75,-2015,speed,
4.7,35.81,38.75,-2015,speed,
4.75,35.81,38.75,-2015,speed,
4.8,35.81,38.75,-2015,speed,
