epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,666.655,1.14171,1.9157,1.39611,0.39039,0.28161,0.28915,0.18699,1.58479,2.65978,2.0923,9.99477e-05,9.99477e-05,0.0901052
2,1261.98,1.13386,1.78312,1.41587,0.51431,0.43062,0.43076,0.30308,1.26256,2.0073,1.60053,0.000199942,0.000199942,0.0802052
3,1850.72,1.09323,1.69462,1.39458,0.54889,0.46244,0.47768,0.34872,1.14502,1.80402,1.47908,0.000299915,0.000299915,0.0703051
4,2441.56,1.09904,1.69669,1.40189,0.55863,0.55734,0.53574,0.40362,1.1191,1.56339,1.48414,0.00039985,0.00039985,0.0604051
5,3034.67,1.08728,1.6639,1.39187,0.62534,0.59004,0.58677,0.44888,1.04712,1.33592,1.40744,0.000499731,0.000499731,0.050505
6,3617.72,1.03659,1.56222,1.35805,0.65318,0.60504,0.62127,0.47488,0.98475,1.22059,1.33964,0.000599541,0.000599541,0.0406048
7,4201.32,1.02195,1.5242,1.34789,0.68897,0.61236,0.63804,0.49288,0.95395,1.16012,1.31571,0.000699264,0.000699264,0.0307045
8,4789.93,1.01473,1.51142,1.34217,0.68869,0.62181,0.64632,0.50277,0.94804,1.14869,1.30683,0.000798884,0.000798884,0.0208041
9,5369.37,0.99691,1.45136,1.32759,0.71551,0.6244,0.66037,0.51669,0.91929,1.09389,1.27685,0.000898385,0.000898385,0.0109036
10,5947.55,0.97762,1.41672,1.31649,0.72228,0.63362,0.67157,0.52833,0.8929,1.05349,1.24445,0.000997751,0.000997751,0.00100298
11,6526.88,0.96444,1.38277,1.3003,0.71587,0.63783,0.67331,0.53277,0.87938,1.04672,1.22799,0.000997288,0.000997288,0.000997288
12,7103.98,0.95001,1.35643,1.29384,0.72224,0.64989,0.68426,0.54025,0.8699,1.02796,1.2209,0.00099672,0.00099672,0.00099672
13,7679.59,0.93594,1.32291,1.28087,0.73298,0.64501,0.6893,0.54518,0.86132,1.01655,1.20771,0.000996097,0.000996097,0.000996097
14,8259.32,0.92009,1.29518,1.27179,0.73897,0.65327,0.69813,0.55393,0.84149,0.98958,1.18878,0.00099542,0.00099542,0.00099542
15,8837.23,0.91853,1.26847,1.26477,0.74683,0.65384,0.70346,0.559,0.83851,0.97906,1.18277,0.00099469,0.00099469,0.00099469
16,9413.2,0.90133,1.25372,1.25707,0.7366,0.66304,0.70552,0.56132,0.83558,0.97264,1.18186,0.000993906,0.000993906,0.000993906
17,9991.78,0.89984,1.24267,1.25567,0.74235,0.65995,0.70806,0.56355,0.83787,0.96642,1.18871,0.000993068,0.000993068,0.000993068
18,10568.9,0.88607,1.21576,1.24518,0.74627,0.66305,0.71394,0.56961,0.8277,0.94476,1.17506,0.000992177,0.000992177,0.000992177
19,11147,0.8816,1.20608,1.24233,0.74711,0.66827,0.71669,0.5716,0.82257,0.9341,1.16783,0.000991232,0.000991232,0.000991232
20,11724.3,0.87218,1.17696,1.23243,0.75271,0.66897,0.71841,0.57438,0.81537,0.92699,1.15832,0.000990234,0.000990234,0.000990234
21,12302.5,0.87109,1.17128,1.22795,0.75273,0.67115,0.72203,0.57772,0.80851,0.9153,1.1498,0.000989183,0.000989183,0.000989183
22,12880.7,0.86097,1.15252,1.2221,0.75026,0.6756,0.72527,0.58118,0.80712,0.90957,1.14618,0.000988079,0.000988079,0.000988079
23,13459.5,0.85913,1.14296,1.21902,0.75605,0.6749,0.72878,0.58417,0.80399,0.90175,1.14259,0.000986922,0.000986922,0.000986922
24,14037.2,0.85112,1.13651,1.21386,0.75054,0.67897,0.72981,0.58619,0.80333,0.89708,1.14052,0.000985711,0.000985711,0.000985711
25,14614.5,0.84126,1.11582,1.20415,0.75253,0.68046,0.73155,0.58846,0.79996,0.89229,1.13759,0.000984449,0.000984449,0.000984449
26,15191.6,0.8368,1.10091,1.20183,0.75486,0.68153,0.73312,0.58949,0.79506,0.88614,1.13397,0.000983133,0.000983133,0.000983133
